seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
1554a68530182680ad5c8b042c3ab563,Early,245,217,17,20651.21
612170e34b97004b3ba37eae81836b4c,Early,107,93,7,20415.2
70a12e78e608ac31179aea7f8422044b,Early,282,202,44,20389.09
d1c281d3ae149232351cd8c8cc885f0d,Early,224,163,46,20339.69
7e1fb0a3ebfb01ffb3a7dae98bf3238d,Early,144,121,8,19983.43
f62d7bb4a613ec758a03342d46b580b2,Early,28,25,1,19787.47
744dac408745240a2c2528fb1b6028f3,Early,81,73,3,19759.73
a3a38f4affed601eb87a97788c949667,Early,246,214,15,19755.66
88460e8ebdecbfecb5f9601833981930,Early,234,157,58,19583.54
05ff92fedb5be47920fea08e501238b9,Early,59,43,2,18808.39
53e4c6e0f4312d4d2107a8c9cddf45cd,Early,476,368,59,18668.05
c003204e1ab016dfa150abc119207b24,Early,185,170,6,18664.22
06a2c3af7b3aee5d69171b0e14f0ee87,Early,306,263,21,18443.33
dc4a0fc896dc34b0d5bfec8438291c80,Early,232,167,40,18393.06
855668e0971d4dfd7bef1b6a4133b41b,Early,264,203,37,18376.91
9f505651f4a6abe901a56cdc21508025,Early,392,327,32,18351.11
a416b6a846a11724393025641d4edd5e,Early,150,125,15,18342.9
59b22a78efb79a4797979612b885db36,Early,111,88,16,17968.81
06e5eefc71ec47ae763c5c6f8db7064f,Early,86,64,13,17952.23
48162d548f5b1b11b9d29d1e01f75a61,Early,87,64,17,17826.87
1a3df491d1c4f1589fc2b934ada68bf2,Early,164,133,12,17706.65
7b0df942f46435babab05d49b744b2c4,Early,28,26,0,17633.81
710e3548e02bc1d2831dfc4f1b5b14d4,Early,131,81,39,17620.64
59fb871bf6f4522a87ba567b42dafecf,Early,116,98,7,17619.02
f45122a9ab94eb4f3f8953578bc0c560,Early,182,137,31,17354.13
16090f2ca825584b5a147ab24aa30c86,Early,355,291,34,17351.64
ea8482cd71df3c1969d7b9473ff13abc,Early,1043,810,125,17264.4199999999
8444e55c1f13cd5c179851e5ca5ebd00,Early,90,53,28,17257.05
96493fab2fbb13a14d0c0e8772eef5c3,Early,59,44,9,16326.62
c72de06d72748d1a0dfb2125be43ba63,Early,22,19,1,16310.82
bfd27a966d91cfaafdb25d076585f0da,Early,107,96,7,15487.24
00ee68308b45bc5e2660cd833c3f81cc,Early,158,138,12,15247.41
94144541854e298c2d976cb893b81343,Early,73,61,7,15239.58
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,Early,15,12,2,15007.99
dc317f341ab0e22f39acbd9dbf9b4a1f,Early,55,47,7,15003.35
