seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
f4aba7c0bca51484c30ab7bdc34bcdd1,Late,1,0,1,11.21
ca3bd7cd9f149df75950150d010fe4a2,Slight Delay,1,0,1,11.27
973f21788dfab357250f69a8dcb7ddee,Late,1,0,1,11.29
0ea22c1cfbdc755f86b9b54b39c16043,Late,1,0,1,11.67
85cc55e048b6bcc90c75afe7f0e72f72,Slight Delay,1,0,1,11.67
e4f121bf6ef8b9a1d4d3e65dd0473fab,Late,1,0,1,11.77
63ffcb71394dd8ea3872ed9ffda17c74,Late,1,0,1,12.07
7caa63f175b1cecbfaadd8b5ab9998c7,Early,1,0,1,12.16
0336182e1b3e92f029d5354832045fdf,Early,2,0,2,12.23
76d5af76d0271110f9af36c92573f765,Late,1,0,1,12.3
ec2e006556300a79a5a91e4876ab3a56,Early,3,0,3,12.54
7c5b05cbdb5542049f38d90d7815b97d,Slight Delay,1,0,1,12.59
d379f449f2a3b271bc01c0782020f705,Late,1,0,1,12.82
7c1fea10b5b006671d608b1d7c446ec4,Slight Delay,1,0,1,12.84
7c4618c82226628831613e95e9c22f44,Slight Delay,1,0,1,13.2
537eb890efff034a88679788b647c564,Late,1,0,1,13.67
259f7b5e6e482c230e5bfaa670b6bb8f,Late,1,0,1,13.79
717b78b0950b51ed00b1471d858b0edc,Late,1,0,1,13.79
c6a7539d424a8402232c2228d7a03c5e,Slight Delay,1,0,1,14.07
bc8c8d665ec4664d286be0d521722b19,Slight Delay,1,0,1,14.18
324583d68897f5ddbaf38f6248322176,Early,1,0,1,14.21
bb3dca718920a4d7ec3cc9ffb025108b,Early,3,1,2,14.3
bdb3edbaee43a761e2d4f258dc08f348,Slight Delay,1,0,1,14.8
f3295428338a40977a03f555246a70f4,Very Late,1,0,1,14.8
a8739afb32aaa45e01815ca76f76f54b,Very Late,1,0,1,14.93
82bd0703a4aefd6b599e5bfdaed378fb,Slight Delay,1,0,1,15.05
5b33b527da3c5b969cc99dc435cad09a,Late,1,0,1,15.38
0c7533c71df861ec58ad7ff999ed0e8d,Very Late,1,0,1,15.72
cab85505710c7cb9b720bceb52b01cee,Slight Delay,1,0,1,15.75
15aac934c58d886785ac1b17953ea898,Slight Delay,2,0,1,15.8
9646c3513289980f17226a2fc4720dbd,Slight Delay,5,0,5,15.8
f214d28e8d8e3ef068748498ccc2f813,Late,1,0,1,15.89
50770d25768b0486d89be26afca3108f,Late,1,0,1,15.9
578fa3a9cb6b6dceab39231ad59cdaca,Late,1,0,1,15.9
9c3a1c416c765687bc79a04113269929,Early,1,0,1,16.0
2a1348e9addc1af5aaa619b1a3679d6b,Late,2,0,1,16.17
ec2e006556300a79a5a91e4876ab3a56,Late,3,0,3,16.53
bbad7e518d7af88a0897397ffdca1979,Very Late,1,0,1,16.58
1d4587203296c8f4ad134dc286fa6db0,Late,1,0,1,16.67
951e8cef368f09bb3f3d03c00ca4702c,Late,1,0,1,16.93
dd533b429f380718b70ad9922c294bae,Late,3,1,2,17.02
6860153b69cc696d5dcfe1cdaaafcf62,Late,1,0,1,17.04
35fb511489d9ee3ee27a76debce9df06,Slight Delay,1,0,1,17.08
3a52d63a8f9daf5a28f3626d7eb9bd28,Early,1,0,1,17.22
f419677537694f0462a91990df6ca44f,Slight Delay,1,0,1,17.26
b83cedfb587e7911540e3f576d6917ce,Slight Delay,1,0,1,17.4
318f287a62ab7ac10b703ac37435a231,Very Late,1,0,1,17.57
d4828feed4cda2cd9d6b37899a95a71e,Early,1,0,1,17.69
d97df38225e5abadaff1e72cb72b823c,Late,2,0,2,17.82
2953ce3a88f5e3c3b696d77fc9e4c8eb,Slight Delay,1,0,1,17.9
be8e909810184b9b19e886129149d8e5,Slight Delay,1,0,1,18.1
cd3d09fbe6e3e9ff0c0ac0c300e93ae7,Late,1,0,1,18.15
7fdb0720c8d7c9075538b365dc8c3a22,Slight Delay,1,0,1,18.23
ab75b89cc49c9ab3160d0c91565a442a,Early,1,0,1,18.24
15cd6eefe58588619aaed41dfa6621b1,Late,1,0,1,18.3
e26901d5ab434ce92fd9b5c256820a4e,Late,1,0,1,18.38
2e13c71026e1a39ba5cc1b86dcb679aa,Slight Delay,1,0,1,18.77
38e6dada03429a47197d5d584d793b41,Very Late,5,0,5,19.11
dc8798cbf453b7e0f98745e396cc5616,Very Late,2,0,2,19.6
7008613ea464bad5cb9b83456e1e6a8f,Slight Delay,2,0,2,19.61
f7720c4fa8e3aba4546301ab80ea1f1b,Late,2,0,2,20.75
8a432f4e5b471f8da497d7dc517666e2,Slight Delay,1,0,1,20.77
94144541854e298c2d976cb893b81343,Slight Delay,1,0,1,20.8
85d9eb9ddc5d00ca9336a2219c97bb13,Late,2,0,2,20.86
6cf476a4ca74498db55cbccdaa9dcfb6,Slight Delay,2,0,2,20.94
0afccdb8a34ee5c79f7c06faf2b4d56e,Slight Delay,1,0,1,21.67
c89cf7c468a48af70aada384e722f9e2,Slight Delay,1,0,1,21.9
4e06067cc08b3f41d837768d392c3ee3,Late,2,0,2,21.9
c990d6cf976a5718aaedc539f383ab88,Late,3,0,3,21.99
749e7cdabbaf72f16677859e27874ba5,Early,1,0,1,22.06
26f6b7ab07be3e9e69ce82a6552efc19,Slight Delay,1,0,1,22.27
e5475dcab1e07b63d7f6e902d8f5eda8,Slight Delay,1,0,1,22.9
5d0363b33554b373851fc1622e4d5f3c,Late,1,0,1,23.16
efcd8d2104f1a05d028af7bad20d974b,Slight Delay,1,0,1,23.2
c97aa4ee7420f937da13b7f9e2228b99,Early,1,0,1,23.24
